,id_entrega,tiempo,sin_pesar,pesados,p_aciertos,velocidad,p_aceptacion,score_recolector,seniority_BEGINNER,seniority_INTERMEDIATE,seniority_REVIEW,distancia,lunes,martes,miercoles,jueves,viernes,sabado,hora
0,1,91.800861,17.0,10.0,0.8564,1.56,1.0,4.68,0,0,0,1.2014775191546692,0,1,0,0,0,0,1
1,1,206.599732,88.0,15.0,0.8516,1.14,1.0,4.76,0,0,0,1.5575464001306383,0,1,0,0,0,0,1
2,1,93.458001,6.0,0.0,0.8337,2.03,1.0,4.96,0,1,0,2.360017878309698,0,1,0,0,0,0,1
3,1,124.778761,12.0,5.0,0.8571,2.06,0.92,4.92,0,1,0,1.8990971405296402,0,1,0,0,0,0,0
4,1,130.321208,28.0,16.0,0.8625,1.89,1.0,4.92,0,0,0,0.2890422274699429,0,1,0,0,0,0,1
5,1,74.993118,2.0,0.0,0.8528,2.33,0.96,4.64,0,1,0,1.2042153272810854,0,1,0,0,0,0,1
6,1,65.901589,2.0,0.0,0.8851,1.58,1.0,5.0,0,0,0,4.609068724878027,0,1,0,0,0,0,1
7,1,93.661068,3.0,0.0,0.8767,2.77,1.0,4.78,0,1,0,0.34246522234603777,0,1,0,0,0,0,0
9,1,83.232147,1.0,0.0,0.8586,1.55,0.92,4.96,0,0,0,1.1023522483992827,0,1,0,0,0,0,0
10,1,87.612301,15.0,0.0,0.8297,1.81,1.0,4.72,0,1,0,0.05770367292747691,0,1,0,0,0,0,1
11,1,88.363666,3.0,0.0,0.8762,1.32,1.0,4.92,0,0,0,4.605994289446618,0,1,0,0,0,0,0
13,1,174.948732,30.0,1.0,0.8728,1.89,1.0,4.92,0,0,0,1.462785324528074,0,1,0,0,0,0,0
14,1,60.097044,1.0,0.0,0.9015,2.5,1.0,4.8,0,1,0,0.38760982822622314,0,1,0,0,0,0,1
15,1,91.439743,27.0,10.0,0.8544,1.3,0.96,4.72,0,0,0,1.2608911606179132,0,1,0,0,0,0,1
16,1,69.157783,8.0,0.0,0.8954,2.47,1.0,4.8,0,1,0,0.9959648334732105,0,1,0,0,0,0,1
17,1,132.419758,46.0,10.0,0.8822,1.3,1.0,4.52,0,0,0,1.6945004811184057,0,1,0,0,0,0,0
18,1,155.921219,19.0,25.0,0.8933,1.28,1.0,4.72,0,0,0,7.066456125187211,0,1,0,0,0,0,1
19,1,95.872938,24.0,1.0,0.8702,1.47,0.84,4.8,0,0,1,1.6458419849791253,0,1,0,0,0,0,0
20,1,152.064979,30.0,13.0,0.8692,1.64,0.92,4.92,0,0,0,1.17726237337053,0,1,0,0,0,0,0
21,1,107.341451,25.0,4.0,0.9226,1.55,1.0,4.88,0,0,0,0.7723924730703753,0,1,0,0,0,0,1
22,1,76.983809,4.0,1.0,0.8504,1.19,1.0,4.72,0,0,0,3.1201929567320468,0,1,0,0,0,0,1
23,1,88.738024,34.0,1.0,0.8447,1.1,1.0,4.76,0,0,0,3.2474094921589107,0,1,0,0,0,0,0
24,1,115.705848,13.0,9.0,0.8406,2.07,0.88,5.0,0,1,0,0.1775436887756575,0,1,0,0,0,0,0
25,1,63.252896,16.0,1.0,0.9088,1.69,0.96,4.92,0,0,0,1.980245155217455,0,1,0,0,0,0,0
26,1,174.041294,23.0,16.0,0.8442,1.87,0.92,4.76,0,0,0,0.2224677675733752,0,1,0,0,0,0,1
29,1,84.696572,20.0,12.0,0.8521,0.8,1.0,4.88,0,0,0,1.6174397627724622,0,1,0,0,0,0,0
30,1,169.545565,66.0,0.0,0.877,1.31,1.0,4.64,0,0,0,1.1335213220654399,0,1,0,0,0,0,1
31,1,142.146018,38.0,14.0,0.8606,1.57,1.0,4.64,0,0,0,1.2712151812056223,0,1,0,0,0,0,1
32,1,101.380967,20.0,11.0,0.8395,1.21,0.96,4.64,0,0,0,0.2878878474652626,0,1,0,0,0,0,0
33,1,106.135508,10.0,8.0,0.83,2.97,1.0,4.95,0,1,0,0.7375756949927779,0,1,0,0,0,0,0
34,1,78.990491,7.0,2.0,0.8594,2.11,1.0,4.76,0,1,0,3.4788521851108554,0,1,0,0,0,0,0
35,1,70.694201,4.0,0.0,0.8454,1.46,0.92,4.8,0,0,0,4.274365396349131,0,1,0,0,0,0,1
36,1,62.670658,3.0,0.0,0.8759,2.12,1.0,4.72,0,1,0,0.86181785607884,0,1,0,0,0,0,1
37,1,77.092744,1.0,0.0,0.7758,2.8,0.76,4.84,0,0,1,1.323183528651312,0,1,0,0,0,0,1
38,1,80.875581,20.0,4.0,0.8595,2.0,1.0,4.92,0,0,0,2.1474765932517412,0,1,0,0,0,0,1
39,1,46.667596,1.0,0.0,0.8689,1.38,0.92,4.68,0,0,0,0.6567831406334419,0,1,0,0,0,0,1
40,1,126.207238,35.0,5.0,0.8442,1.23,1.0,4.84,0,0,0,1.0715019931098257,0,1,0,0,0,0,0
41,1,227.659465,38.0,24.0,0.8715,3.0,1.0,4.84,0,1,0,0.7259833038889922,0,1,0,0,0,0,1
42,1,138.293312,23.0,17.0,0.8253,1.71,1.0,4.92,0,0,0,0.9038717146105013,0,1,0,0,0,0,1
43,1,108.721885,22.0,16.0,0.8272,1.29,1.0,4.76,0,0,0,2.565253095333362,0,1,0,0,0,0,0
44,1,152.658329,46.0,5.0,0.8463,1.71,1.0,4.48,0,0,0,1.318917791736117,0,1,0,0,0,0,1
46,1,67.914597,1.0,0.0,0.8333,2.81,1.0,5.0,0,1,0,2.5975707940910824,0,1,0,0,0,0,0
47,1,64.757229,9.0,1.0,0.8656,1.6,1.0,4.56,0,0,0,4.121968500216464,0,1,0,0,0,0,0
48,1,78.286028,9.0,5.0,0.8471,1.5,1.0,4.64,0,0,0,1.8935430310841006,0,1,0,0,0,0,0
50,1,125.196888,14.0,2.0,0.8689,1.38,0.92,4.68,0,0,0,5.306524132619105,0,1,0,0,0,0,1
51,1,109.999518,5.0,0.0,0.8398,2.23,0.96,4.84,0,1,0,3.2225584003900973,0,1,0,0,0,0,1
53,1,85.479215,8.0,0.0,0.9164,2.27,1.0,4.92,0,1,0,3.8115578559147614,0,1,0,0,0,0,1
54,1,102.035157,23.0,3.0,0.8836,1.73,1.0,4.68,0,0,0,1.3054410192377446,0,1,0,0,0,0,1
55,1,84.596435,12.0,5.0,0.8571,1.24,1.0,4.76,0,0,0,5.0493166146571795,0,1,0,0,0,0,1
56,1,84.785838,32.0,1.0,0.8446,1.38,0.96,4.96,0,0,0,0.43837670384264815,0,1,0,0,0,0,1
57,1,134.785689,26.0,13.0,0.91,1.47,0.96,4.84,0,0,0,1.9874319606088422,0,1,0,0,0,0,1
58,1,138.170118,18.0,10.0,0.8827,2.36,0.88,4.8,0,1,0,1.45713488972319,0,1,0,0,0,0,1
59,1,74.098045,2.0,0.0,0.8273,2.0,0.92,4.72,0,0,1,1.5380582093636312,0,1,0,0,0,0,1
60,1,66.000895,11.0,6.0,0.8337,2.03,1.0,4.96,0,1,0,3.12105488470458,0,1,0,0,0,0,0
62,1,92.039877,29.0,6.0,0.8743,1.28,0.96,4.88,0,0,0,1.3560584631418795,0,1,0,0,0,0,1
63,1,70.811336,2.0,0.0,0.7818,1.91,0.8,4.8,0,0,1,14.878394735186612,0,1,0,0,0,0,1
64,1,136.332667,37.0,1.0,0.8270000000000001,2.13,1.0,4.92,0,0,1,9.510778090146582,0,1,0,0,0,0,0
65,1,86.786826,15.0,6.0,0.7438,1.95,1.0,4.52,0,0,0,4.357933606639061,0,1,0,0,0,0,0
66,1,39.056521,10.0,2.0,0.8521,0.8,1.0,4.88,0,0,0,1.5541027471437763,0,1,0,0,0,0,1
67,1,82.695854,27.0,9.0,0.8231,1.58,1.0,4.84,0,0,0,0.11137548424293992,0,1,0,0,0,0,1
69,1,77.210395,16.0,0.0,0.8893,1.37,0.96,4.72,0,0,0,1.7892987329044674,0,1,0,0,0,0,1
70,1,66.058154,3.0,0.0,0.8665,1.89,1.0,4.76,0,0,0,4.64679347818436,0,1,0,0,0,0,1
71,1,96.479045,7.0,2.0,0.8542,1.23,1.0,4.96,0,1,0,0.29334067917658035,0,1,0,0,0,0,1
72,1,97.013521,9.0,3.0,0.848,1.39,0.92,4.84,0,0,0,0.5000615150272695,0,1,0,0,0,0,1
73,1,61.476766,20.0,1.0,0.9009999999999999,1.19,1.0,4.72,0,0,0,1.3645193597414202,0,1,0,0,0,0,0
74,1,53.613172,1.0,0.0,0.9153,2.35,0.9524,4.8,0,1,0,0.06815823812586476,0,1,0,0,0,0,1
75,1,62.223171,4.0,0.0,0.8459,1.45,0.96,4.8,0,0,0,0.0812360820659971,0,1,0,0,0,0,1
76,1,99.769101,18.0,15.0,0.8894,1.57,1.0,4.6,0,0,0,3.2834050042879457,0,1,0,0,0,0,0
77,1,142.533196,43.0,2.0,0.872,1.75,0.96,4.68,0,0,0,0.7019726870676654,0,1,0,0,0,0,1
78,1,54.075572,4.0,2.0,0.8606,1.48,0.96,4.8,0,0,0,0.19861710262329146,0,1,0,0,0,0,1
79,1,146.109882,33.0,10.0,0.8406,2.07,0.88,5.0,0,1,0,0.7035658013796365,0,1,0,0,0,0,1
80,1,74.096483,9.0,11.0,0.8851,1.58,1.0,5.0,0,0,0,1.4760185623226771,0,1,0,0,0,0,0
81,1,56.535204,3.0,0.0,0.7975,2.43,1.0,4.92,0,1,0,3.191312184952062,0,1,0,0,0,0,1
83,1,95.048842,7.0,7.0,0.8255,1.89,1.0,4.84,0,0,0,7.640046956392687,0,1,0,0,0,0,0
84,1,109.886393,17.0,3.0,0.9164,2.27,1.0,4.92,0,1,0,3.0772566325484414,0,1,0,0,0,0,1
85,1,107.688155,23.0,3.0,0.8306,2.57,0.8,4.8,0,0,1,0.9081664803279225,0,1,0,0,0,0,0
86,1,39.351727,3.0,0.0,0.8808,2.33,1.0,4.96,0,1,0,0.3329159375006703,0,1,0,0,0,0,0
87,1,105.352962,13.0,12.0,0.8808,1.45,1.0,4.76,0,0,0,3.7096052712380243,0,1,0,0,0,0,1
88,1,100.920318,14.0,7.0,0.9055,2.41,1.0,4.8,0,1,0,4.252053107495356,0,1,0,0,0,0,1
89,1,102.561538,27.0,13.0,0.8699,1.59,0.96,4.72,0,0,0,1.3885126250106532,0,1,0,0,0,0,0
90,1,42.154867,1.0,0.0,0.8521,2.5,1.0,4.6,0,1,0,0.6224367608611598,0,1,0,0,0,0,1
91,1,66.918801,4.0,3.0,0.8459,1.45,0.96,4.8,0,0,0,1.812223561771497,0,1,0,0,0,0,0
92,1,124.814472,32.0,4.0,0.8624,1.7,0.96,4.84,0,1,0,1.0331536437724325,0,1,0,0,0,0,1
93,1,141.706889,45.0,3.0,0.8743,1.28,0.96,4.88,0,0,0,8.653961135266039,0,1,0,0,0,0,0
94,1,50.873401,10.0,2.0,0.84,2.4,0.96,4.72,0,1,0,0.740918318004099,0,1,0,0,0,0,1
95,1,101.923891,13.0,8.0,0.7602,2.67,0.96,4.87,0,0,1,0.6936948397644576,0,1,0,0,0,0,0
96,1,73.323687,14.0,5.0,0.8831,1.69,0.96,4.69,0,0,0,0.18424741335275904,0,1,0,0,0,0,1
97,1,142.018453,16.0,21.0,0.8524,1.33,0.84,4.96,0,0,1,1.2020129300461122,0,1,0,0,0,0,0
98,1,120.843785,6.0,0.0,0.8333,1.86,0.96,4.84,0,0,0,4.3772046674138245,0,1,0,0,0,0,0
99,1,97.798878,15.0,4.0,0.91,1.47,0.96,4.84,0,0,0,1.040147231990942,0,1,0,0,0,0,0
100,1,70.305159,1.0,0.0,0.8533,3.6,0.9565,5.0,0,1,0,0.8923859470380613,0,1,0,0,0,0,0
102,1,59.316944,5.0,0.0,0.8599,1.5,1.0,4.84,0,0,0,1.6096768177675063,0,1,0,0,0,0,1
103,1,47.875778,3.0,0.0,0.8687,1.42,0.96,4.8,0,0,0,0.37457668539588773,0,1,0,0,0,0,0
105,1,53.415885,0.0,2.0,0.8238,3.0,0.96,4.88,0,0,1,1.2533093441573515,0,1,0,0,0,0,1
106,1,72.127214,4.0,0.0,0.8913,1.89,0.96,4.64,0,0,0,1.9292125208365785,0,1,0,0,0,0,1
107,1,105.615552,19.0,4.0,0.8827,2.36,0.88,4.8,0,1,0,1.8425224259219228,0,1,0,0,0,0,0
108,1,61.940342,12.0,0.0,0.7672,2.03,0.88,4.83,0,1,0,0.4495586423624837,0,1,0,0,0,0,0
109,1,59.754001,3.0,8.0,0.9013,1.43,1.0,4.88,0,0,0,3.194359083391235,0,1,0,0,0,0,0
110,1,111.921655,8.0,0.0,0.8537,1.13,0.96,4.88,0,0,0,2.043166829969108,0,1,0,0,0,0,1
111,1,112.843722,29.0,16.0,0.8836,1.73,1.0,4.68,0,0,0,3.0870066668747436,0,1,0,0,0,0,0
112,1,127.548442,19.0,13.0,0.8741,1.58,0.96,4.84,0,0,0,3.0834645273888537,0,1,0,0,0,0,1
113,1,176.870718,24.0,16.0,0.8671,2.68,0.8,4.76,0,0,1,1.208878282612969,0,1,0,0,0,0,1
114,1,121.423742,11.0,6.0,0.8601,2.57,0.72,4.68,0,0,1,0.7004144758201982,0,1,0,0,0,0,1
115,1,129.303186,26.0,13.0,0.8599,1.5,1.0,4.84,0,0,0,1.9841397923270951,0,1,0,0,0,0,1
117,1,81.747231,5.0,1.0,0.8036,2.4,1.0,4.92,0,1,0,1.7330563812041702,0,1,0,0,0,0,1
119,1,27.159287,1.0,0.0,0.84,2.4,0.96,4.72,0,1,0,0.10941017368616068,0,1,0,0,0,0,1
121,1,159.402741,34.0,7.0,0.848,1.75,0.96,4.72,0,0,0,1.6120571567714308,0,1,0,0,0,0,1
122,1,112.230628,25.0,11.0,0.8984,1.57,1.0,5.0,0,0,0,1.6125794294036802,0,1,0,0,0,0,0
123,1,88.671726,19.0,8.0,0.8889,1.5,1.0,4.72,0,1,0,1.1629817181374444,0,1,0,0,0,0,1
124,1,140.677447,13.0,17.0,0.8347,1.67,0.96,4.76,0,0,0,0.27754356799018465,0,1,0,0,0,0,1
125,1,96.398851,35.0,0.0,0.8411,1.81,1.0,4.84,0,0,0,0.9569869703507735,0,1,0,0,0,0,0
126,1,98.975382,28.0,0.0,0.8273,2.0,0.92,4.72,0,0,1,0.6151223741418548,0,1,0,0,0,0,0
127,1,85.219536,4.0,0.0,0.8639,1.6,1.0,4.92,0,0,0,6.130388506486321,0,1,0,0,0,0,1
128,1,193.569646,55.0,11.0,0.8913,1.81,0.96,4.96,0,0,0,7.427999918646863,0,1,0,0,0,0,1
129,1,165.192833,34.0,16.0,0.8582,1.48,0.96,4.6,0,0,0,2.4400593668632125,0,1,0,0,0,0,1
130,1,77.761272,8.0,4.0,0.8801,1.85,0.96,4.8,0,0,0,2.291591887063088,0,1,0,0,0,0,1
131,1,100.979843,5.0,9.0,0.8539,2.44,1.0,4.44,0,1,0,4.151063007531069,0,1,0,0,0,0,0
132,1,113.663568,22.0,19.0,0.8993,1.19,1.0,4.6,0,0,0,2.3346495688856894,0,1,0,0,0,0,0
133,1,130.602114,37.0,4.0,0.8638,1.88,1.0,4.52,0,0,0,3.5928660847088487,0,1,0,0,0,0,0
134,1,91.208772,21.0,4.0,0.8519,1.69,1.0,4.92,0,0,0,6.075545150425413,0,1,0,0,0,0,1
135,1,123.639705,35.0,2.0,0.8547,1.71,0.96,4.8,0,0,0,1.2120292531437047,0,1,0,0,0,0,0
136,0,113.281087,4.0,3.0,0.8445,2.56,0.84,4.47,0,0,1,1.7982512648181106,0,1,0,0,0,0,0
137,1,97.931023,1.0,6.0,0.8601,2.57,0.72,4.68,0,0,1,1.7039245856777445,0,1,0,0,0,0,1
138,1,94.625299,7.0,0.0,0.8543,1.57,0.92,4.68,0,0,0,1.7184433146227227,0,1,0,0,0,0,1
139,0,84.248618,10.0,1.0,0.8577,1.58,1.0,4.56,0,0,0,2.5878154915098324,0,1,0,0,0,0,0
140,1,99.703282,6.0,0.0,0.8036,1.67,0.92,4.96,0,1,0,2.216269585545857,0,1,0,0,0,0,1
141,0,156.702988,12.0,0.0,0.856,2.11,0.96,4.64,0,1,0,3.496377038682106,0,1,0,0,0,0,1
144,1,83.200518,3.0,0.0,0.9154,1.64,1.0,4.8,0,0,0,4.075964898651518,0,1,0,0,0,0,1
145,1,125.068184,34.0,6.0,0.8717,1.68,1.0,4.84,0,0,0,1.17168269586872,0,1,0,0,0,0,1
146,1,75.163728,7.0,10.0,0.8645,1.18,0.96,4.6,0,0,0,1.1044157398549455,0,1,0,0,0,0,0
147,1,70.222667,1.0,0.0,0.8762,1.32,1.0,4.92,0,0,0,1.2449115008074718,0,1,0,0,0,0,1
148,0,114.367828,20.0,5.0,0.9053,1.48,0.96,4.68,0,0,0,0.3411572459941458,0,1,0,0,0,0,1
149,1,59.659751,10.0,0.0,0.8692,1.64,0.92,4.92,0,0,0,1.3023335425069775,0,1,0,0,0,0,1
150,1,49.879497,1.0,0.0,0.8678,1.75,0.96,4.6,0,0,0,2.5597179012966214,0,1,0,0,0,0,0
151,1,72.846324,7.0,4.0,0.8621,1.44,1.0,4.8,0,0,0,3.5237034861716627,0,1,0,0,0,0,0
152,1,76.113623,8.0,0.0,0.8222,2.2,0.2,4.78,0,0,1,1.946101388010541,0,1,0,0,0,0,1
153,0,100.733187,27.0,1.0,0.84,2.4,0.96,4.72,0,1,0,1.5711341355591877,0,1,0,0,0,0,1
154,1,105.769472,27.0,27.0,0.8636,0.84,1.0,4.84,0,0,0,2.953216901008792,0,1,0,0,0,0,1
155,1,81.803218,3.0,0.0,0.8268,1.35,0.88,4.92,0,0,0,1.451933218561728,0,1,0,0,0,0,1
157,1,100.021046,5.0,0.0,0.878,1.54,1.0,4.84,0,0,0,1.834447155293332,0,1,0,0,0,0,1
158,1,82.006854,5.0,3.0,0.8416,2.58,0.96,4.96,0,1,0,1.8616066839204666,0,1,0,0,0,0,1
160,1,92.512596,20.0,3.0,0.8299,1.16,1.0,4.8,0,0,0,5.5093352803829445,0,1,0,0,0,0,1
161,1,58.348666,10.0,0.0,0.8889,1.5,1.0,4.72,0,1,0,5.029762588189384,0,1,0,0,0,0,1
162,1,86.602738,15.0,1.0,0.8037,1.8,0.96,4.84,0,0,0,0.12467734007627433,0,1,0,0,0,0,0
163,1,94.845884,11.0,0.0,0.8497,3.0,1.0,4.92,0,1,0,8.212976270830175,0,1,0,0,0,0,1
164,1,63.406671,17.0,4.0,0.8857,1.6,0.92,4.76,0,0,0,0.46993860547959376,0,1,0,0,0,0,1
165,1,68.510811,7.0,7.0,0.8764,1.61,1.0,4.8,0,0,0,3.7467568466351833,0,1,0,0,0,0,1
166,1,80.731741,6.0,0.0,0.9009999999999999,1.19,1.0,4.72,0,0,0,4.364442387303287,0,1,0,0,0,0,1
167,1,60.272672,8.0,4.0,0.8037,1.8,0.96,4.84,0,0,0,0.5074070748508959,0,1,0,0,0,0,1
168,1,65.636091,2.0,0.0,0.8571,1.9,0.96,4.8,0,0,0,1.6743073382071996,0,1,0,0,0,0,1
169,0,93.671088,27.0,7.0,0.8699,1.59,0.96,4.72,0,0,0,0.7365658166259027,0,1,0,0,0,0,1
170,0,54.434888,7.0,2.0,0.8594,2.11,1.0,4.76,0,1,0,0.49135780690855124,0,1,0,0,0,0,0
171,0,78.787743,21.0,2.0,0.9088,1.69,0.96,4.92,0,0,0,0.9344292157579819,0,1,0,0,0,0,1
172,1,121.951233,13.0,3.0,0.845,1.96,1.0,4.95,0,0,0,0.4698104426527573,0,1,0,0,0,0,1
